Output source file name: T725
||||Date|(%)
Company Code|Company Name|Equity Owner Type|Equity Owner Name|Holding Date|Percent Shares
20554|Artson Engineering Ltd.|Non-Promoters|Clearing Members|30-06-2019|0.150000
20554|Artson Engineering Ltd.|Non-Promoters|Clearing Members|30-09-2019|0.020000
20554|Artson Engineering Ltd.|Non-Promoters|Clearing Members|31-12-2019|0.090000
20554|Artson Engineering Ltd.|Non-Promoters|Clearing Members|31-03-2020|0.030000
20554|Artson Engineering Ltd.|Non-Promoters|Huf|30-06-2019|1.610000
20554|Artson Engineering Ltd.|Non-Promoters|Huf|30-09-2019|1.580000
20554|Artson Engineering Ltd.|Non-Promoters|Huf|31-12-2019|1.630000
20554|Artson Engineering Ltd.|Non-Promoters|Huf|31-03-2020|1.750000
20554|Artson Engineering Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-06-2019|0.550000
20554|Artson Engineering Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-09-2019|0.690000
20554|Artson Engineering Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-12-2019|0.710000
20554|Artson Engineering Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-03-2020|0.690000
20554|Artson Engineering Ltd.|Non-Promoters|Saranam Trading & Mercantile Pvt. Ltd.|30-06-2019|1.080000
20554|Artson Engineering Ltd.|Non-Promoters|Sarnam Trading & Mercantile Private Limited|31-03-2020|1.080000
20554|Artson Engineering Ltd.|Non-Promoters|Sarnam Trading & Mercantile Pvt. Ltd.|30-09-2019|1.080000
20554|Artson Engineering Ltd.|Promoters|Tata Projects Limited|30-06-2019|75.000000
20554|Artson Engineering Ltd.|Promoters|Tata Projects Limited|30-09-2019|75.000000
20554|Artson Engineering Ltd.|Promoters|Tata Projects Limited|31-12-2019|75.000000
20554|Artson Engineering Ltd.|Promoters|Tata Projects Limited|31-03-2020|75.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Arun Nahar|30-06-2019|4.650000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Arun Nahar|30-09-2019|4.650000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Arun Nahar|31-12-2019|4.030000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Arun Nahar|31-03-2020|4.030000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Clearing Members|30-06-2019|0.220000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Clearing Members|30-09-2019|0.120000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Clearing Members|31-12-2019|0.120000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Clearing Members|31-03-2020|0.140000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Diana Dhun Ratnagar|30-06-2019|1.250000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Diana Dhun Ratnagar|30-09-2019|1.250000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Diana Dhun Ratnagar|31-12-2019|1.080000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Diana Dhun Ratnagar|31-03-2020|1.080000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Director Or Director'S Relatives|30-06-2019|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Director Or Director'S Relatives|30-09-2019|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Director Or Director'S Relatives|31-12-2019|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Director Or Director'S Relatives|31-03-2020|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Huf|30-06-2019|3.670000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Huf|30-09-2019|3.690000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Huf|31-12-2019|3.520000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Huf|31-03-2020|3.550000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Iepf|30-06-2019|1.220000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Iepf|30-09-2019|1.270000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Iepf|31-12-2019|1.340000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Iepf|31-03-2020|1.340000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-06-2019|0.460000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-09-2019|0.430000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-12-2019|0.390000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-03-2020|0.830000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Trusts|30-06-2019|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Trusts|30-09-2019|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Trusts|31-12-2019|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Non-Promoters|Trusts|31-03-2020|0.000000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Edc Limited|30-06-2019|6.310000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Edc Limited|30-09-2019|6.310000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Edc Limited|31-12-2019|6.650000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Edc Limited|31-03-2020|6.650000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Finance Limited|30-06-2019|0.750000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Finance Limited|30-09-2019|0.750000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Finance Limited|31-12-2019|0.790000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Finance Limited|31-03-2020|0.790000
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Limited|30-06-2019|46.439999
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Limited|30-09-2019|46.439999
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Limited|31-12-2019|48.980000
